autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
The_Jauntsons,"This was an incredibly important stop on our travels.  It really added to our understanding of the architectural aspects of Portuguese history, and the tomb of Vasco da Gama is a must.  Do not miss it!","Written February 29, 2016","Vancouver, Canada",A MUST see!
eatella,The Mosteiro has to be visited when in Lisbon. It is a large and interesting building. The highlight of our visit was the temporary exhibition with a very detailed timeline of the monastery / Lisbon / and the rest of the world.,"Written February 28, 2016","Paris, France",The origins of the famous pasteis
José Oliveira,I recommend a good foto camera to visit this monument. ,"Written February 28, 2016","Maia, Portugal",Amazing event for today 
Benji I,"Great monument, with a nice surrounding. I would suggest to walk there by the coast, especially in a sunny day. If not in the mood, there is a train from LISBON center that will take 5/10 minutes to Belem station. Be aware that you'll have to buy a different ticket from the metro ticket.","Written February 28, 2016",14 contributions,Situated in a nice area.
ChicagoWG1,Distinctly magnificant Portuguese Architecture with plenty of world history. This is probably the most picturesque buildings in all of Portugal. A visit should be on all tourist itineraries. This place is hard to describe and capture with pictures. You just have to visit to experience its magnificence. To the left there are several museums and to the right is a very beautiful church. ,"Written February 27, 2016","Chicago, IL",One of the Most Beautiful Buildings in Portugal
Thijs K,Visited this monastery on a sunny day together with torre de belem. The architecture is impressive and the church (free to visit) is also amazing,"Written February 27, 2016",17 contributions,Great place
Steven P,"If you are visiting Lisbon, you must see this old monastery.  It is simple as that.  They simply don't build things this beautiful anymore.  The design and architecture of the building, the church and the cloister are breathtaking.  This is a simple stop that can be accomplished in under an hour for the schedule-oriented traveler.  It also lies in the unique neighborhood of Belem (Bethlehem) which is inundated with shops, bars, and restaurants.","Written February 27, 2016","Saint Louis, MO",Amazing architecture in a unique neighborhood
On The Road Again,"This is one of Lisbon’s must do and in fact after being here, you will understand the country’s glorious past. Vasco da Gama and Camões are buried here and that pretty much says it all, aside from bing a beautiful monastery.  ","Written February 26, 2016","Fort Lauderdale, FL",Portugal’s history and pride
bronwenfb,"You can see now how the church recruited people. You walk into the space and your jaw drops. I was a bit reluctant to spend €10 to get in but it was stunning. Not huge, but we still managed to spend a few hours between the rooms. ","Written February 26, 2016","London, United Kingdom",Beautiful inside: makes you (almost) want to join a church
,,,,
Piperdave,"Well worth the trip to see this astonishing building. Just breathtaking, and strangly peaceful, even with crowds of people visiting. The Tower of Balem is also worth looking at when you are there.","Written February 25, 2016",68 contributions,Beautiful
Ichdien000,This is one of the main sights in Lisbon and a must see - currently part of the building is undergoing renovation but it is still a great place to see - Perhaps get there early as it clearly gets very busy. But it is also located in the Belim area where you can walk along the port area and visit other sights such as the Torre de Belim- can easily spend a half day or more in the area,"Written February 25, 2016","Cardiff, UK",Essential place to visit in Belim
Londoner-in-Portugal,"Stunning!...an absolute must if you're in Lisbon, a journey full of rich Portuguese history.","Written February 25, 2016","Lisbon, Portugal",Take me to church!
HalPoway,The exterior shows no clue of what waits within this imperessive monastery.Take your time to examine the fine points on each of the columns in the courtyard. The entire surrroundings easily conveys a sense of another era. Not to be missed.,"Written February 24, 2016",Poway,Magnificent Example of Portugese Architecture
olihenryy,Worth the trip down to Belem for this and Torre de Belem. 10 euros for entry and for that you get to look round the monastery and the church. Both are stunning and the level of detail in both really is something else. Definitely worth the trip.,"Written February 24, 2016","Brighton, UK",Stunning place
Bart L,Very nice church. One of the nicest churches I have seen and without entree fee. Lot of things to see. You can go to a special part for 3 euro. Can't say that was worth it. But rest of the church is worth a visit.,"Written February 24, 2016",17 contributions,Beautiful church
Donnag,"The monastery was so huge and so ornate that it was almost overwhelming.  It attracts huge crowds so going as early as possible is probably a good idea.  While you more or less are moved along by the crowds you can stop anywhere you like to see things more closely.  There are signs everywhere that pictures aren't allowed, but they are mostly ignored.  It is not to be missed.","Written February 24, 2016",138 contributions,Amazing architecture
Alex S,"This is one of the main tourist attractions for Lisbon and the Port area of Belem.  It is a great place to visit, We were there in January, and even then the light inside the monastery church is quite magical.  It was the first major ecclesiastic building we visited in our four week self directed tour of the Iberian Peninsula.  Quite a contrast from the churches in our home country.  The tomb of Vasco da Gama is a drawcard as is the cloister, where there was a bit of dramaturgy going on.  We shared our time there with several local school groups.","Written February 23, 2016","Melbourne, Victoria, Australia",An extraordinary place.
Armando S,Just amazing! Beautiful church and surroundings . There's alot to see in here a must ! Another great piece of history,"Written February 23, 2016","Birmingham, UK",Lovely
GFrida,I can not reccoment enough the Mosteiro dos Jeronimos. When we went in we just took a sit and  froze for some priod of time. So beautiful. Would definitely back again if  get the chance. Buy a comby ticket with Belem and skip one queue.,"Written February 23, 2016","London, UK",Beautiful
,,,,
samyrs87,"Great architecture, great city, i love Lisbon. Don't forget the pasteles de belem, are really good :)","Written February 23, 2016",Italy,Amazing place!!
Lenita H,"The architecture is very beautiful, the day we went we couldn't see inside, but my husband went some years ago and said it worth it.","Written February 23, 2016","Amsterdam, The Netherlands",It's beautiful
